sample_id,run_accession,study_accession
Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878518,ERR506074,PRJEB14695
Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878522,ERR506078,PRJEB14695
Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878523,ERR506079,PRJEB14695
Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878524,ERR506080,PRJEB14695
Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878527,ERR506083,PRJEB14695
Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878533,ERR506088,PRJEB14695
Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878534,ERR506090,PRJEB14695
Schistosoma_mansoni_ovaries__single_sex_infection-sc-1878516,ERR506096,PRJEB14695
Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878518,ERR506098,PRJEB14695
Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878533,ERR506112,PRJEB14695
Schistosoma_mansoni_ovaries__single_sex_infection-sc-1878516,ERR667050,PRJEB14695
Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878517,ERR667051,PRJEB14695
Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878518,ERR667052,PRJEB14695
Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878523,ERR667057,PRJEB14695
Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878524,ERR667058,PRJEB14695
Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878528,ERR667062,PRJEB14695
Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878532,ERR667067,PRJEB14695
Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878536,ERR667070,PRJEB14695
Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878537,ERR667071,PRJEB14695
Schistosoma_mansoni_ovaries__single_sex_infection-sc-1878515,ERR667073,PRJEB14695
Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878517,ERR667075,PRJEB14695
Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878524,ERR667082,PRJEB14695
