sample_id,run_accession,study_accession,Sample Name,Sex,Location,lane,sex,stage
X_5d_Sporocysts_R2,ERR11178270,PRJEB32839,X_5d_Sporocysts_R2,Mix,in vitro,Lane 1 ENA Run Accession,Mix,in vitro
X_Cercariae_R5,ERR11178275,PRJEB32839,X_Cercariae_R5,Mix,"Free-living, water",Lane 1 ENA Run Accession,Mix,"Free-living, water"
X_Eggs_R2,ERR11178276,PRJEB32839,X_Eggs_R2,Mix,Intramammalian,Lane 1 ENA Run Accession,Mix,Intramammalian
M_2d_Somules_R3,ERR11178277,PRJEB32839,M_2d_Somules_R3,Male,in vitro,Lane 1 ENA Run Accession,Male,in vitro
M_32d_Sporocysts_R1,ERR11178282,PRJEB32839,M_32d_Sporocysts_R1,Male,Intramolluscan,Lane 1 ENA Run Accession,Male,Intramolluscan
M_Cercariae_R2,ERR11178284,PRJEB32839,M_Cercariae_R2,Male,"Free-living, water",Lane 1 ENA Run Accession,Male,"Free-living, water"
X_Eggs_R3,ERR11178286,PRJEB32839,X_Eggs_R3,Mix,Intramammalian,Lane 1 ENA Run Accession,Mix,Intramammalian
M_2d_Somules_R4,ERR11178287,PRJEB32839,M_2d_Somules_R4,Male,in vitro,Lane 1 ENA Run Accession,Male,in vitro
X_Eggs_R4,ERR11178295,PRJEB32839,X_Eggs_R4,Mix,Intramammalian,Lane 1 ENA Run Accession,Mix,Intramammalian
M_Cercariae_R4,ERR11178302,PRJEB32839,M_Cercariae_R4,Male,"Free-living, water",Lane 1 ENA Run Accession,Male,"Free-living, water"
X_1d_Sporocysts_R3,ERR11178306,PRJEB32839,X_1d_Sporocysts_R3,Mix,in vitro,Lane 1 ENA Run Accession,Mix,in vitro
M_26d_Juveniles_R1,ERR11178307,PRJEB32839,M_26d_Juveniles_R1,Male,Intramammalian,Lane 1 ENA Run Accession,Male,Intramammalian
F_2d_Somules_R4,ERR11178312,PRJEB32839,F_2d_Somules_R4,Female,in vitro,Lane 1 ENA Run Accession,Female,in vitro
X_Miracidia_R1,ERR11178313,PRJEB32839,X_Miracidia_R1,Mix,"Free-living, water",Lane 1 ENA Run Accession,Mix,"Free-living, water"
M_26d_Juveniles_R2,ERR11178316,PRJEB32839,M_26d_Juveniles_R2,Male,Intramammalian,Lane 1 ENA Run Accession,Male,Intramammalian
F_32d_Sporocysts_R2,ERR11178317,PRJEB32839,F_32d_Sporocysts_R2,Female,Intramolluscan,Lane 1 ENA Run Accession,Female,Intramolluscan
X_Cercariae_R1,ERR11178320,PRJEB32839,X_Cercariae_R1,Mix,"Free-living, water",Lane 1 ENA Run Accession,Mix,"Free-living, water"
X_2d_Somules_R3,ERR11178323,PRJEB32839,X_2d_Somules_R3,Mix,in vitro,Lane 1 ENA Run Accession,Mix,in vitro
F_32d_Sporocysts_R3,ERR11178325,PRJEB32839,F_32d_Sporocysts_R3,Female,Intramolluscan,Lane 1 ENA Run Accession,Female,Intramolluscan
X_Cercariae_R2,ERR11178328,PRJEB32839,X_Cercariae_R2,Mix,"Free-living, water",Lane 1 ENA Run Accession,Mix,"Free-living, water"
F_32d_Sporocysts_R4,ERR11178334,PRJEB32839,F_32d_Sporocysts_R4,Female,Intramolluscan,Lane 1 ENA Run Accession,Female,Intramolluscan
X_32d_Sporocysts_R5,ERR11178342,PRJEB32839,X_32d_Sporocysts_R5,Mix,Intramolluscan,Lane 1 ENA Run Accession,Mix,Intramolluscan
F_Cercariae_R1,ERR11178343,PRJEB32839,F_Cercariae_R1,Female,"Free-living, water",Lane 1 ENA Run Accession,Female,"Free-living, water"
F_Cercariae_R3,ERR11178349,PRJEB32839,F_Cercariae_R3,Female,"Free-living, water",Lane 1 ENA Run Accession,Female,"Free-living, water"
X_Eggs_R1,ERR11178356,PRJEB32839,X_Eggs_R1,Mix,Intramammalian,Lane 2 ENA Run Accession,Mix,Intramammalian
X_Miracidia_R5,ERR11178368,PRJEB32839,X_Miracidia_R5,Mix,"Free-living, water",Lane 2 ENA Run Accession,Mix,"Free-living, water"
M_32d_Sporocysts_R1,ERR11178372,PRJEB32839,M_32d_Sporocysts_R1,Male,Intramolluscan,Lane 2 ENA Run Accession,Male,Intramolluscan
F_26d_Juveniles_R4,ERR11178379,PRJEB32839,F_26d_Juveniles_R4,Female,Intramammalian,Lane 2 ENA Run Accession,Female,Intramammalian
X_2d_Somules_R5,ERR11178381,PRJEB32839,X_2d_Somules_R5,Mix,in vitro,Lane 2 ENA Run Accession,Mix,in vitro
X_Eggs_R4,ERR11178385,PRJEB32839,X_Eggs_R4,Mix,Intramammalian,Lane 2 ENA Run Accession,Mix,Intramammalian
M_2d_Somules_R5,ERR11178386,PRJEB32839,M_2d_Somules_R5,Male,in vitro,Lane 2 ENA Run Accession,Male,in vitro
X_1d_Sporocysts_R2,ERR11178387,PRJEB32839,X_1d_Sporocysts_R2,Mix,in vitro,Lane 2 ENA Run Accession,Mix,in vitro
F_26d_Juveniles_R5,ERR11178388,PRJEB32839,F_26d_Juveniles_R5,Female,Intramammalian,Lane 2 ENA Run Accession,Female,Intramammalian
X_Eggs_R5,ERR11178394,PRJEB32839,X_Eggs_R5,Mix,Intramammalian,Lane 2 ENA Run Accession,Mix,Intramammalian
X_2d_Somules_R1,ERR11178395,PRJEB32839,X_2d_Somules_R1,Mix,in vitro,Lane 2 ENA Run Accession,Mix,in vitro
