sample_id,stage,sex,condition,replicate,batch,dataset,lane,run_accession
SM_ADUL_FEM_MIXE_R0_B2,adult,female,mixed_sex,,B2,PRJEB14695,,ERR506074
SM_ADUL_MAL_SING_R0_B2,adult,male,single_sex,,B2,PRJEB14695,,ERR506078
SM_ADUL_MAL_MIXE_R0_B2,adult,male,mixed_sex,,B2,PRJEB14695,,ERR506079
SM_ADUL_MAL_MIXE_R0_B2,adult,male,mixed_sex,,B2,PRJEB14695,,ERR506080
SM_ADUL_FEM_MIXE_R0_B2,adult,female,mixed_sex,,B2,PRJEB14695,,ERR506083
SM_ADUL_MAL_MIXE_R0_B2,adult,male,mixed_sex,,B2,PRJEB14695,,ERR506088
SM_ADUL_MAL_MIXE_R0_B2,adult,male,mixed_sex,,B2,PRJEB14695,,ERR506090
SM_ADUL_FEM_SING_R0_B2,adult,female,single_sex,,B2,PRJEB14695,,ERR506096
SM_ADUL_FEM_MIXE_R0_B2,adult,female,mixed_sex,,B2,PRJEB14695,,ERR506098
SM_ADUL_MAL_MIXE_R0_B2,adult,male,mixed_sex,,B2,PRJEB14695,,ERR506112
SM_ADUL_FEM_SING_R0_B2,adult,female,single_sex,,B2,PRJEB14695,,ERR667050
SM_ADUL_FEM_MIXE_R0_B2,adult,female,mixed_sex,,B2,PRJEB14695,,ERR667051
SM_ADUL_FEM_MIXE_R0_B2,adult,female,mixed_sex,,B2,PRJEB14695,,ERR667052
SM_ADUL_MAL_MIXE_R0_B2,adult,male,mixed_sex,,B2,PRJEB14695,,ERR667057
SM_ADUL_MAL_MIXE_R0_B2,adult,male,mixed_sex,,B2,PRJEB14695,,ERR667058
SM_ADUL_FEM_MIXE_R0_B2,adult,female,mixed_sex,,B2,PRJEB14695,,ERR667062
SM_ADUL_MAL_SING_R0_B2,adult,male,single_sex,,B2,PRJEB14695,,ERR667067
SM_ADUL_FEM_SING_R0_B2,adult,female,single_sex,,B2,PRJEB14695,,ERR667070
SM_ADUL_FEM_SING_R0_B2,adult,female,single_sex,,B2,PRJEB14695,,ERR667071
SM_ADUL_FEM_SING_R0_B2,adult,female,single_sex,,B2,PRJEB14695,,ERR667073
SM_ADUL_FEM_MIXE_R0_B2,adult,female,mixed_sex,,B2,PRJEB14695,,ERR667075
SM_ADUL_MAL_MIXE_R0_B2,adult,male,mixed_sex,,B2,PRJEB14695,,ERR667082
SM_ADUL_MAL_MIXE_R0_B2,adult,male,mixed_sex,,B2,PRJEB14695,,ERR667083
