sample_id,stage,sex,condition,replicate,batch,dataset,lane,run_accession
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR506074
SM_ADUL_MAL_SING_RNA_B2,adult,male,single_sex,,B2,PRJEB14695,single,ERR506078
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR506079
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR506080
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR506083
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR506088
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR506090
SM_ADUL_FEM_SING_RNA_B2,adult,female,single_sex,,B2,PRJEB14695,single,ERR506096
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR506098
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR506112
SM_ADUL_FEM_SING_RNA_B2,adult,female,single_sex,,B2,PRJEB14695,single,ERR667050
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR667051
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR667052
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR667057
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR667058
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR667062
SM_ADUL_MAL_SING_RNA_B2,adult,male,single_sex,,B2,PRJEB14695,single,ERR667067
SM_ADUL_FEM_SING_RNA_B2,adult,female,single_sex,,B2,PRJEB14695,single,ERR667070
SM_ADUL_FEM_SING_RNA_B2,adult,female,single_sex,,B2,PRJEB14695,single,ERR667071
SM_ADUL_FEM_SING_RNA_B2,adult,female,single_sex,,B2,PRJEB14695,single,ERR667073
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR667075
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR667082
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR667083
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR667085
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR667086
SM_ADUL_MAL_SING_RNA_B2,adult,male,single_sex,,B2,PRJEB14695,single,ERR667088
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR667090
SM_ADUL_FEM_SING_RNA_B2,adult,female,single_sex,,B2,PRJEB14695,single,ERR667097
SM_ADUL_FEM_SING_RNA_B2,adult,female,single_sex,,B2,PRJEB14695,single,ERR667098
