sample_id,file_prefix,raw_sample_id,stage,tissue,sex,infection_mode,condition,biological_location,replicate,source_sample_id,batch,dataset,lane,run_accession,study_accession,study
SM_ADUL_OVAR_FEM_MIXS_SC1878518_B2,SM_ADUL_OVAR_FEM_MIXS_SC1878518_B2,Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878518,adult,ovary,female,mixed_sex,mixed_sex,,1878518,1878518,B2,PRJEB14695,,ERR506074,PRJEB14695,PRJEB14695_parsed
SM_ADUL_TEST_MAL_SING_SC1878522_B2,SM_ADUL_TEST_MAL_SING_SC1878522_B2,Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878522,adult,testis,male,single_sex,single_sex,,1878522,1878522,B2,PRJEB14695,,ERR506078,PRJEB14695,PRJEB14695_parsed
SM_ADUL_TEST_MAL_MIXS_SC1878523_B2,SM_ADUL_TEST_MAL_MIXS_SC1878523_B2,Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878523,adult,testis,male,mixed_sex,mixed_sex,,1878523,1878523,B2,PRJEB14695,,ERR506079,PRJEB14695,PRJEB14695_parsed
SM_ADUL_TEST_MAL_MIXS_SC1878524_B2,SM_ADUL_TEST_MAL_MIXS_SC1878524_B2,Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878524,adult,testis,male,mixed_sex,mixed_sex,,1878524,1878524,B2,PRJEB14695,,ERR506080,PRJEB14695,PRJEB14695_parsed
SM_ADUL_WHOL_FEM_MIXS_SC1878527_B2,SM_ADUL_WHOL_FEM_MIXS_SC1878527_B2,Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878527,adult,whole_body,female,mixed_sex,mixed_sex,,1878527,1878527,B2,PRJEB14695,,ERR506083,PRJEB14695,PRJEB14695_parsed
SM_ADUL_WHOL_MAL_MIXS_SC1878533_B2,SM_ADUL_WHOL_MAL_MIXS_SC1878533_B2,Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878533,adult,whole_body,male,mixed_sex,mixed_sex,,1878533,1878533,B2,PRJEB14695,,ERR506088,PRJEB14695,PRJEB14695_parsed
SM_ADUL_WHOL_MAL_MIXS_SC1878534_B2,SM_ADUL_WHOL_MAL_MIXS_SC1878534_B2,Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878534,adult,whole_body,male,mixed_sex,mixed_sex,,1878534,1878534,B2,PRJEB14695,,ERR506090,PRJEB14695,PRJEB14695_parsed
SM_ADUL_OVAR_FEM_SING_SC1878516_B2,SM_ADUL_OVAR_FEM_SING_SC1878516_B2,Schistosoma_mansoni_ovaries__single_sex_infection-sc-1878516,adult,ovary,female,single_sex,single_sex,,1878516,1878516,B2,PRJEB14695,,ERR506096,PRJEB14695,PRJEB14695_parsed
SM_ADUL_OVAR_FEM_MIXS_SC1878518_B2,SM_ADUL_OVAR_FEM_MIXS_SC1878518_B2,Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878518,adult,ovary,female,mixed_sex,mixed_sex,,1878518,1878518,B2,PRJEB14695,,ERR506098,PRJEB14695,PRJEB14695_parsed
SM_ADUL_WHOL_MAL_MIXS_SC1878533_B2,SM_ADUL_WHOL_MAL_MIXS_SC1878533_B2,Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878533,adult,whole_body,male,mixed_sex,mixed_sex,,1878533,1878533,B2,PRJEB14695,,ERR506112,PRJEB14695,PRJEB14695_parsed
